Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
LAMC3	ECM-Receptor	ECM	Laminins	Laminins	Laminin Family
CHAD	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Cartilage Matrix Family
THBS1	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Thrombospondins Family
THBS2	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Thrombospondins Family
TNC	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Tenascin Family
TNR	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Tenascin Family
TNN	ECM-Receptor	ECM	Matricellular	Matricellular Proteins	Tenascin Family
POSTN	Secreted Signaling	ECM	Matricellular	Matricellular Proteins	Fasciclin Family
SPP1	Secreted Signaling	Growth Factors & Cytokines	Matricellular	Matricellular Proteins	SIBLINGs
CNTN2	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Contactin Family
CNTN1	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Contactin Family
L1CAM	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Ig Superfamily
NCAM1	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Ig Superfamily
NCAM2	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Ig Superfamily
NRXN1	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Neurexin Family
NRXN2	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Neurexin Family
NRXN3	Cell-Cell Contact	CAM	Neural Cell Adhesion	Neural Cell Adhesion Proteins	Neurexin Family
NRG1	Secreted Signaling	Growth Factors & Cytokines	Neuregulins	Neuregulins	Neuregulin
NRG2	Secreted Signaling	Growth Factors & Cytokines	Neuregulins	Neuregulins	Neuregulin
NRG3	Secreted Signaling	Growth Factors & Cytokines	Neuregulins	Neuregulins	Neuregulin
NRG4	Secreted Signaling	Growth Factors & Cytokines	Neuregulins	Neuregulins	Neuregulin
CORT	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Adrenal Gland)	Cortistatin Family
RLN3	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Brain)	Relaxin/Insulin-Like Family
UCN	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Brain)	Urocortin Family
UCN3	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Brain)	Urocortin Family
CRH	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Hypothalamus)	CRH Family
GALP	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Hypothalamus)	Galanin Family
HCRT	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Hormone/Neuropeptide (Hypothalamus)	Hypocretin (Orexin) Neuropeptide Precursor Family
NPY	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuropeptide Y Family
NTS	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neurotensin Family
PMCH	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Melanin-Concentrating Hormone Family
QRFP	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Pyroglutamylated RFamide Peptide Family
GRP	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Gastrin-Releasing Peptide Family
NMS	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuromedin S Family
NMU	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuromedin U Family
NPB	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuropeptide B/W Family
